PeakID (cmd=annotatePeaks.pl Filtered_Peaks_Union.txt mm10 -d tag/LKO_GCG_Input-Redo.tag/ tag/LKO_Veh_Input-Redo.tag/ tag/P8249_FLKO_GCG.tag/ tag/P8250_FLKO_GCG.tag/ tag/P8251_FWT_GCG.tag/ tag/P8266_FWT_GCG.tag/ tag/P8268_FLKO_Veh.tag/ tag/P8289_FLKO_Veh.tag/ tag/P8292_FWT_Veh.tag/ tag/P8297_FWT_Veh.tag/ tag/WT_GCG_Input-Redo.tag/ tag/WT_Veh_Input-Redo.tag/)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	"tag/LKO_GCG_Input-Redo.tag/ Tag Count in given bp (18551812.0 Total, normalization factor = 0.54, effective total = 10000000)"	"tag/LKO_Veh_Input-Redo.tag/ Tag Count in given bp (20488236.0 Total, normalization factor = 0.49, effective total = 10000000)"	"tag/P8249_FLKO_GCG.tag/ Tag Count in given bp (19468993.0 Total, normalization factor = 0.51, effective total = 10000000)"	"tag/P8250_FLKO_GCG.tag/ Tag Count in given bp (18132350.0 Total, normalization factor = 0.55, effective total = 10000000)"	"tag/P8251_FWT_GCG.tag/ Tag Count in given bp (17583237.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8266_FWT_GCG.tag/ Tag Count in given bp (19301124.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8268_FLKO_Veh.tag/ Tag Count in given bp (17392915.0 Total, normalization factor = 0.57, effective total = 10000000)"	"tag/P8289_FLKO_Veh.tag/ Tag Count in given bp (15752938.0 Total, normalization factor = 0.63, effective total = 10000000)"	"tag/P8292_FWT_Veh.tag/ Tag Count in given bp (19236269.0 Total, normalization factor = 0.52, effective total = 10000000)"	"tag/P8297_FWT_Veh.tag/ Tag Count in given bp (14643986.0 Total, normalization factor = 0.68, effective total = 10000000)"	"tag/WT_GCG_Input-Redo.tag/ Tag Count in given bp (18902719.0 Total, normalization factor = 0.53, effective total = 10000000)"	"tag/WT_Veh_Input-Redo.tag/ Tag Count in given bp (21333023.0 Total, normalization factor = 0.47, effective total = 10000000)"
Merged-chr19-3325403-1	chr19	3325252	3325554	+	9.63	pCREB.fed.mergepeaks.txt	"intron (NM_013495, intron 1 of 18)"	CpG	2102	NM_013495	12894		NM_013495	ENSMUSG00000024900	Cpt1a	C730027G07|CPTI|Cpt1	"carnitine palmitoyltransferase 1a, liver"	protein-coding	0.54	5.86	4.11	4.96	3.41	3.63	14.95	4.44	6.76	7.51	5.82	3.28
Merged-chr13-37825752-1	chr13	37825601	37825903	+	9.63	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026830)	promoter-TSS (NM_026830)	-286	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	1.08	1.95	2.05	0.55	1.71	0.52	4.02	3.17	2.6	3.41	4.23	1.88
Merged-chr5-51391060-1	chr5	51390908	51391212	+	9.17	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	162861	NR_027710	19017		NM_008904	ENSMUSG00000029167	Ppargc1a	A830037N07Rik|Gm11133|PGC-1|PPARGC-1-alpha|Pgc-1alpha|Pgc1|Pgco1|Ppargc1	"peroxisome proliferative activated receptor, gamma, coactivator 1 alpha"	protein-coding	0	1.46	4.11	9.38	2.84	8.29	12.07	7.62	4.16	7.51	2.65	1.41
Merged-chr1-167374800-1	chr1	167374648	167374952	+	9.17	pCREB.fed.mergepeaks.txt	"intron (NM_025569, intron 4 of 5)"	"intron (NM_025569, intron 4 of 5)"	19041	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding	1.62	1.95	6.16	6.07	2.27	2.59	5.17	1.9	3.12	4.1	2.65	2.34
Merged-chr18-74958588-1	chr18	74958436	74958740	+	9.17	pCREB.fed.mergepeaks.txt	"intron (NM_010720, intron 1 of 9)"	"intron (NM_010720, intron 1 of 9)"	2675	NM_010720	16891		NM_010720	ENSMUSG00000053846	Lipg	3110013K01Rik|EL|lipase|mEDL	"lipase, endothelial"	protein-coding	2.7	1.95	1.54	4.41	5.69	8.81	5.75	4.44	6.76	8.88	1.59	4.69
Merged-chr19-3719696-1	chr19	3719496	3719896	+	9.110001	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	11285	NM_001358257	72056		NM_028077	ENSMUSG00000035372	1810055G02Rik	-	RIKEN cDNA 1810055G02 gene	protein-coding	0.54	5.37	10.27	9.93	7.39	4.66	21.85	15.24	10.4	15.02	3.17	4.69
Merged-chr11-20333055-1	chr11	20332805	20333306	+	9.093333	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_018861)	promoter-TSS (NM_018861)	-342	NM_018861	55963		NM_018861	ENSMUSG00000020142	Slc1a4	ASCT-1|ASCT1|SATT	"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4"	protein-coding	2.7	10.74	6.68	12.68	14.79	10.36	37.37	20.95	9.36	32.78	4.23	10.78
Merged-chr13-102023755-1	chr13	102023609	102023901	+	9.05	pCREB.fed.mergepeaks.txt	Intergenic	MIRb|SINE|MIR	-255538	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	2.7	4.39	2.57	2.21	5.12	4.14	4.02	0.63	1.04	3.41	2.12	3.75
Merged-chr13-101862266-1	chr13	101862120	101862412	+	9.05	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-94049	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	2.7	1.95	26.71	32.54	21.04	16.06	12.65	11.43	3.64	7.51	2.65	5.63
Merged-chr18-64620020-1	chr18	64619874	64620166	+	9.05	pCREB.fed.mergepeaks.txt	"intron (NM_001001488, intron 1 of 27)"	"intron (NM_001001488, intron 1 of 27)"	40980	NM_001001488	54670		NM_001001488	ENSMUSG00000039529	Atp8b1	FIC1|Ic	"ATPase, class I, type 8B, member 1"	protein-coding	3.77	1.95	5.14	5.52	3.41	5.18	12.07	9.52	7.28	9.56	2.12	5.16
Merged-chr7-72305850-1	chr7	72305699	72306001	+	8.89	pCREB.fed.mergepeaks.txt	"intron (NM_001024703, intron 1 of 22)"	"intron (NM_001024703, intron 1 of 22)"	745	NM_001024703	244049		NM_001024703	ENSMUSG00000032776	Mctp2	Gm489	"multiple C2 domains, transmembrane 2"	protein-coding	2.7	1.95	3.08	4.41	2.84	0.52	4.6	2.54	2.08	5.46	1.06	1.41
Merged-chr8-93325195-1	chr8	93325037	93325353	+	8.84	pCREB.fed.mergepeaks.txt	"intron (NM_021456, intron 7 of 13)"	"intron (NM_021456, intron 7 of 13)"	12014	NM_021456	12623		NM_021456	ENSMUSG00000057074	Ces1g	CEH|Ces-1|Ces1|Ses-1	carboxylesterase 1G	protein-coding	0.54	4.39	6.16	7.72	4.55	6.74	25.87	14.6	3.64	23.22	2.12	0.94
Merged-chr11-101467588-1	chr11	101467427	101467750	+	8.505	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_009708)	promoter-TSS (NM_009708)	-587	NM_009708	11858		NM_009708	ENSMUSG00000001313	Rnd2	Arhn|Rohn|rho7	Rho family GTPase 2	protein-coding	4.31	4.88	9.25	8.82	5.69	5.7	10.35	12.7	10.4	20.49	3.7	3.75
Merged-chr13-102077003-1	chr13	102076857	102077149	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-308786	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding	3.23	0.49	1.54	1.65	1.14	1.04	0.57	3.17	1.56	0	2.65	1.41
Merged-chr5-93251217-1	chr5	93251071	93251363	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-16356	NM_007635	12452		NM_007635	ENSMUSG00000029385	Ccng2	-	cyclin G2	protein-coding	2.16	1.95	5.14	4.96	5.12	4.14	6.9	3.81	6.24	3.41	2.12	2.34
Merged-chr4-32389346-1	chr4	32389200	32389492	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-28089	NM_001109661	12014		NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	"BTB and CNC homology, basic leucine zipper transcription factor 2"	protein-coding	0	0.49	1.03	1.65	1.14	2.07	1.15	0.63	1.56	1.37	2.12	1.88
Merged-chr8-82585899-1	chr8	82585753	82586045	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-183313	NM_008357	16168		NM_008357	ENSMUSG00000031712	Il15	IL-15	interleukin 15	protein-coding	0.54	1.46	0.51	1.65	1.14	2.07	1.15	3.17	2.08	0.68	1.59	0.94
Merged-chr1-167394092-1	chr1	167393946	167394238	+	8.45	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_025569)	promoter-TSS (NM_025569)	-251	NM_025569	66447		NM_025569	ENSMUSG00000026688	Mgst3	2010012L10Rik|2010306B17Rik|2700004G04Rik|GST-III	microsomal glutathione S-transferase 3	protein-coding	4.85	4.39	3.6	2.76	4.55	5.18	6.9	2.54	4.16	6.83	5.29	5.16
Merged-chr13-37815077-1	chr13	37814931	37815223	+	8.45	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-10961	NM_026830	68750		NM_026830	ENSMUSG00000039087	Rreb1	1110037N09Rik|B930013M22Rik|sao	ras responsive element binding protein 1	protein-coding	1.62	3.42	2.57	1.65	0.57	5.18	4.02	2.54	2.6	2.05	3.17	1.88
Merged-chr6-5471163-1	chr6	5471011	5471315	+	8.03	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	25115	NM_013743	27273		NM_013743	ENSMUSG00000019577	Pdk4	-	"pyruvate dehydrogenase kinase, isoenzyme 4"	protein-coding	5.93	3.9	3.6	2.21	3.41	3.11	4.6	1.27	5.72	4.78	3.17	2.34
Merged-chr7-132576328-1	chr7	132576182	132576474	+	7.84	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_016978)	promoter-TSS (NM_016978)	70	NM_016978	18242		NM_016978	ENSMUSG00000030934	Oat	rhg	ornithine aminotransferase	protein-coding	1.62	3.42	9.76	6.07	7.39	4.14	28.17	19.04	10.92	24.58	3.7	4.69
Merged-chr1-78538550-1	chr1	78538404	78538696	+	7.84	pCREB.fed.mergepeaks.txt	TTS (NM_026713)	TTS (NM_026713)	27490	NM_026713	68393		NM_026713	ENSMUSG00000012187	Mogat1	0610030A14Rik|1110064N14Rik|Dgat2l|Dgat2l1|MGAT1|WI1-2612I11.1|mDC2	monoacylglycerol O-acyltransferase 1	protein-coding	1.62	0.98	6.68	10.48	6.26	6.74	20.12	4.44	5.2	8.88	4.23	2.81
Merged-chr3-51916558-1	chr3	51916412	51916704	+	7.84	pCREB.fed.mergepeaks.txt	"intron (NM_001004176, intron 1 of 4)"	"intron (NM_001004176, intron 1 of 4)"	188448	NM_001004176	433586		NM_001004176	ENSMUSG00000061143	Maml3	Mam-2|mKIAA1816	mastermind like transcriptional coactivator 3	protein-coding	2.16	2.93	3.08	1.65	1.14	4.14	5.17	3.81	2.6	6.15	4.23	4.69
