PeakID (cmd=annotatePeaks.pl pCREB.fed.BCL6.mergepeaks.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr16-17406121-1	chr16	17405969	17406273	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001373955)	promoter-TSS (NM_001373955)	121	NM_023348	67474		NM_023348	ENSMUSG00000022765	Snap29	1300018G05Rik|Gs32	synaptosomal-associated protein 29	protein-coding
Merged-chr4-99715608-1	chr4	99715456	99715760	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001081264)	promoter-TSS (NM_001081264)	-22	NM_001081264	320438		NM_001081264	ENSMUSG00000073792	Alg6	E230028F23Rik	ALG6 alpha-1,3-glucosyltransferase	protein-coding
Merged-chr10-117393328-1	chr10	117393176	117393480	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-16355	NM_001310609	432508		NM_001013391	ENSMUSG00000055531	Cpsf6	4733401N12Rik|CFIM|CFIM68|HPBRII-4|HPBRII-7	cleavage and polyadenylation specific factor 6	protein-coding
Merged-chr9-99242876-1	chr9	99242724	99243028	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_023873)	promoter-TSS (NM_023873)	-465	NM_023873	68121		NM_023873	ENSMUSG00000056267	Cep70	6720484E09Rik|Bite|C030018L16Rik	centrosomal protein 70	protein-coding
Merged-chr10-110919836-1	chr10	110919684	110919988	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_007792)	promoter-TSS (NM_007792)	-340	NM_007792	13008		NM_007792	ENSMUSG00000020186	Csrp2	Crp2|SmLim	cysteine and glycine-rich protein 2	protein-coding
Merged-chr9-69314756-1	chr9	69314604	69314908	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_001289916, intron 1 of 9)	intron (NM_001289916, intron 1 of 9)	24915	NM_001289916	19883		NM_013646	ENSMUSG00000032238	Rora	9530021D13Rik|Nr1f1|ROR1|ROR2|ROR3|nmf267|sg|staggerer|tmgc26	RAR-related orphan receptor alpha	protein-coding
Merged-chr12-75745896-1	chr12	75745744	75746048	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	MER34A|LTR|ERV1	-10167	NM_030750	81535		NM_030750	ENSMUSG00000021054	Sgpp1	SPP|SPP1|Spph1	sphingosine-1-phosphate phosphatase 1	protein-coding
Merged-chr7-83892231-1	chr7	83892079	83892383	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_023403)	promoter-TSS (NM_023403)	-35	NM_023403	67943		NM_023403	ENSMUSG00000038503	Mesd	2210015O11Rik|Mesdc2|mKIAA0081|mesd|msd	mesoderm development LRP chaperone	protein-coding
Merged-chr8-3631041-1	chr8	3630889	3631193	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_011503)	promoter-TSS (NM_011503)	-68	NM_001357168	20911		NM_011503	ENSMUSG00000004626	Stxbp2	Munc-18-2|Munc-18b|Munc18b|Sxtbp2|Sxtp2|Unc18-2|Unc18b|muSec1	syntaxin binding protein 2	protein-coding
Merged-chr16-10649213-1	chr16	10649061	10649365	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_001204229, intron 18 of 22)	intron (NM_001204229, intron 18 of 22)	103874	NM_001204229	74374		NM_177562	ENSMUSG00000068663	Clec16a	4932416N17Rik|curt|mKIAA0350	C-type lectin domain family 16, member A	protein-coding
Merged-chr3-95107018-1	chr3	95106866	95107170	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001293707)	promoter-TSS (NM_001293707)	-88	NM_001293707	18720		NM_008847	ENSMUSG00000028126	Pip5k1a	PI4P5K-I[a]|PIP5K1-alpha|PIP5KIalpha|Pipk5a	phosphatidylinositol-4-phosphate 5-kinase, type 1 alpha	protein-coding
Merged-chr4-19973062-1	chr4	19972910	19973214	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	L1_Mur2|LINE|L1	32677	NR_040768	74988		NR_040768		4930480G23Rik	-	RIKEN cDNA 4930480G23 gene	ncRNA
Merged-chr17-54065873-1	chr17	54065721	54066025	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-75242	NM_018751	20888		NM_018751	ENSMUSG00000023943	Sult1c1	(PST)G|P-SULT|ST1C1|Stp2|Sult1a2|mOLFST	sulfotransferase family, cytosolic, 1C, member 1	protein-coding
Merged-chr10-128053661-1	chr10	128053509	128053813	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	B2_Mm2|SINE|B2	-5321	NM_019766	56351		NM_019766	ENSMUSG00000071072	Ptges3	5730442A20Rik|Ptges|Tebp|cPGES|p23|sid3177	prostaglandin E synthase 3	protein-coding
Merged-chr3-144570594-1	chr3	144570442	144570746	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_011828)	promoter-TSS (NM_011828)	167	NM_053102	93684		NM_053102	ENSMUSG00000037072	Selenof	9430015P09Rik|Sep15	selenoprotein F	protein-coding
Merged-chr12-28750371-1	chr12	28750219	28750523	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NR_165042)	promoter-TSS (NR_165042)	29	NM_001161411	217449		NM_178811	ENSMUSG00000020628	Trappc12	CGI-87|D930014A20Rik|Ttc15	trafficking protein particle complex 12	protein-coding
Merged-chr2-27625715-1	chr2	27625563	27625867	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-51486	NM_011305	20181		NM_011305	ENSMUSG00000015846	Rxra	9530071D11Rik|Nr2b1|RXRalpha1	retinoid X receptor alpha	protein-coding
Merged-chr5-138622931-1	chr5	138622779	138623083	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_183025)	promoter-TSS (NM_183025)	72	NM_183025	243308		NM_183025	ENSMUSG00000056014	A430033K04Rik	ObI-1|ObI1	RIKEN cDNA A430033K04 gene	protein-coding
Merged-chr19-6140963-1	chr19	6140623	6141303	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_019722, intron 1 of 4)	CpG	174	NM_019722	56327		NM_019722	ENSMUSG00000024944	Arl2	2610009M23Rik	ADP-ribosylation factor-like 2	protein-coding
Merged-chr4-135752854-1	chr4	135752702	135753006	+	8.600000	pCREB.fed.mergepeaks.txt	3' UTR (NM_178257, exon 7 of 7)	3' UTR (NM_178257, exon 7 of 7)	-6861	NM_001085509	242702		NM_001085509	ENSMUSG00000037139	Myom3	8430427K15Rik|Gm434	myomesin family, member 3	protein-coding
Merged-chr1-93342893-1	chr1	93342741	93343045	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_080850)	promoter-TSS (NM_080850)	-105	NM_080850	269224		NM_080850	ENSMUSG00000026274	Pask	mKIAA0135	PAS domain containing serine/threonine kinase	protein-coding
Merged-chr1-91380593-1	chr1	91380441	91380745	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_001355152, intron 9 of 11)	intron (NM_001355152, intron 9 of 11)	14163	NM_173395	227358		NM_173395	ENSMUSG00000047443	Erfe	4832406C22|Fam132b|myonectin	erythroferrone	protein-coding
Merged-chr2-30464210-1	chr2	30464058	30464362	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	MLT1I|LTR|ERVL-MaLR	9989	NM_030244	72500		NM_030244	ENSMUSG00000089762	Ier5l	2610524G09Rik	immediate early response 5-like	protein-coding
Merged-chr11-51059425-1	chr11	51059273	51059577	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_009329, intron 1 of 4)	CpG	168	NM_001347495	21408		NM_009329	ENSMUSG00000020364	Zfp354a	Tcf17|Znf354a|kid1	zinc finger protein 354A	protein-coding
Merged-chr7-4866174-1	chr7	4866022	4866326	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_026158)	promoter-TSS (NM_026158)	5	NM_026158	67441		NM_026158	ENSMUSG00000052605	Isoc2b	0610042E07Rik|Isoc2	isochorismatase domain containing 2b	protein-coding
Merged-chr11-60222870-1	chr11	60222718	60223022	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001358315)	promoter-TSS (NM_001358315)	-289	NM_001358315	20787		NM_011480	ENSMUSG00000020538	Srebf1	ADD1|SREBP1|bHLHd1	sterol regulatory element binding transcription factor 1	protein-coding
Merged-chr11-11933231-1	chr11	11933079	11933383	+	8.600000	pCREB.fed.mergepeaks.txt	3' UTR (NM_010345, exon 17 of 17)	3' UTR (NM_010345, exon 17 of 17)	-35087	NM_001190448	13195		NM_016672	ENSMUSG00000020182	Ddc	Aadc	dopa decarboxylase	protein-coding
Merged-chr7-3331960-1	chr7	3331808	3332112	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_133189)	promoter-TSS (NM_133189)	-865	NM_133189	81904		NM_133189	ENSMUSG00000069806	Cacng7	-	calcium channel, voltage-dependent, gamma subunit 7	protein-coding
Merged-chr19-55315686-1	chr19	55315534	55315838	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_016862)	promoter-TSS (NM_016862)	350	NM_001360595	66980		NM_025883	ENSMUSG00000024982	Zdhhc6	2400007G07Rik|5930409M18Rik|DHHC-6	zinc finger, DHHC domain containing 6	protein-coding
Merged-chr9-19622239-1	chr9	19622087	19622391	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NR_153376)	promoter-TSS (NR_153376)	-65	NR_153376	244713		NM_172918	ENSMUSG00000057551	Zfp317	4932416G03|D230022C05Rik|KRAB9|Zfp67|Zfp75|mszf40	zinc finger protein 317	protein-coding
Merged-chr1-151158409-1	chr1	151158257	151158561	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	20375	NR_038011	402734		NR_038011		C730036E19Rik	lncLSTR	RIKEN cDNA C730036E19 gene	ncRNA
Merged-chr4-137356866-1	chr4	137356714	137357018	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_009861, intron 1 of 5)	intron (NM_009861, intron 1 of 5)	893	NM_009861	12540		NM_009861	ENSMUSG00000006699	Cdc42	-	cell division cycle 42	protein-coding
Merged-chr19-55195801-1	chr19	55195649	55195953	+	8.600000	pCREB.fed.mergepeaks.txt	3' UTR (NM_009348, exon 10 of 10)	3' UTR (NM_009348, exon 10 of 10)	3123	NR_106146	102465990		NR_106146	ENSMUSG00000098289	Mir6715	Gm27474|mmu-mir-6715	microRNA 6715	ncRNA
Merged-chr3-131018147-1	chr3	131017995	131018299	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-92150	NM_010703	16842		NM_010703	ENSMUSG00000027985	Lef1	3000002B05|Lef-1	lymphoid enhancer binding factor 1	protein-coding
Merged-chr5-129690745-1	chr5	129690593	129690897	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_028826, intron 7 of 9)	intron (NM_028826, intron 7 of 9)	14239	NM_028826	74222		NM_028826	ENSMUSG00000034219	Septin14	1700016K13Rik|Sept14	septin 14	protein-coding
Merged-chr18-76310858-1	chr18	76310706	76311010	+	8.600000	pCREB.fed.mergepeaks.txt	3' UTR (NM_010754, exon 11 of 11)	3' UTR (NM_010754, exon 11 of 11)	48413	NM_001311070	17126		NM_010754	ENSMUSG00000024563	Smad2	7120426M23Rik|Madh2|Madr2|Smad-2|mMad2	SMAD family member 2	protein-coding
Merged-chr16-24420867-1	chr16	24420715	24421019	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_178665, intron 1 of 12)	intron (NM_178665, intron 1 of 12)	-27212	NR_037954	68841		NR_037954	ENSMUSG00000119959	Lppos	1110054M08Rik	LIM domain containing preferred translocation partner in lipoma, opposite strand	ncRNA
Merged-chr4-82513355-1	chr4	82513203	82513507	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NR_137202, intron 1 of 1)	CpG	5366	NR_137202	102635783		NR_137202	ENSMUSG00000087413	Gm11266	-	predicted gene 11266	ncRNA
Merged-chr10-71344982-1	chr10	71344830	71345134	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_134007)	promoter-TSS (NM_134007)	-133	NM_134007	52637		NM_134007	ENSMUSG00000037710	Cisd1	D10Ertd214e|Zcd1|mitoNEET	CDGSH iron sulfur domain 1	protein-coding
Merged-chr1-155333619-1	chr1	155333467	155333771	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_011273, intron 3 of 14)	intron (NM_011273, intron 3 of 14)	83825	NM_011273	19775		NM_011273	ENSMUSG00000026469	Xpr1	Rmc-1|Rmc1|Sxv|Syg1|XR	xenotropic and polytropic retrovirus receptor 1	protein-coding
Merged-chr8-44963036-1	chr8	44962884	44963188	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_001081286, intron 1 of 25)	intron (NM_001081286, intron 1 of 25)	12828	NM_001081286	14107		NM_010179	ENSMUSG00000070047	Fat1	2310038E12Rik|Fath|mFat1	FAT atypical cadherin 1	protein-coding
Merged-chr12-32966988-1	chr12	32966836	32967140	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_198710, intron 2 of 4)	B3|SINE|B2	12802	NM_198710	19027		NM_013635	ENSMUSG00000020570	Sypl1	D12Ertd446e|PanI|Pphn|Sypl	synaptophysin like 1	protein-coding
Merged-chr18-10182312-1	chr18	10182160	10182464	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_009071)	promoter-TSS (NM_009071)	-520	NM_009071	19877		NM_009071	ENSMUSG00000024290	Rock1	1110055K06Rik|Rock-I	Rho-associated coiled-coil containing protein kinase 1	protein-coding
Merged-chr6-133135463-1	chr6	133135311	133135615	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	L1_Mur3|LINE|L1	30224	NR_073368	381820		NM_001163445	ENSMUSG00000072704	Smim10l1	2700089E24Rik	small integral membrane protein 10 like 1	protein-coding
Merged-chr15-82338875-1	chr15	82338723	82339027	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_008669)	promoter-TSS (NM_008669)	-49	NM_008669	17939		NM_008669	ENSMUSG00000022453	Naga	-	N-acetyl galactosaminidase, alpha	protein-coding
Merged-chr8-115756209-1	chr8	115756057	115756361	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	40287	NR_168616	102632716		NR_168616		Gm30712	-	predicted gene, 30712	ncRNA
Merged-chr14-21995036-1	chr14	21994884	21995188	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-5435	NM_145459	218820		NM_145459	ENSMUSG00000039081	Zfp503	B830002A16Rik|Nolz-1|Nolz1|Znf503|Zpo2	zinc finger protein 503	protein-coding
Merged-chr7-43562245-1	chr7	43562093	43562397	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001008549)	promoter-TSS (NM_001008549)	-125	NM_001008549	210104		NM_001008549	ENSMUSG00000056592	Zfp658	-	zinc finger protein 658	protein-coding
Merged-chr6-54971794-1	chr6	54971642	54971946	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001171007)	promoter-TSS (NM_001171007)	-133	NM_001171007	107607		NM_172729	ENSMUSG00000038058	Nod1	C230079P11|Card4|F830007N14Rik|Nlrc1|mNod1	nucleotide-binding oligomerization domain containing 1	protein-coding
Merged-chr2-34406861-1	chr2	34406709	34407013	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_177345)	promoter-TSS (NM_177345)	10	NM_001290626	227743		NM_177345	ENSMUSG00000038696	Mapkap1	D230039K05Rik|Sin1	mitogen-activated protein kinase associated protein 1	protein-coding
Merged-chr12-25234812-1	chr12	25234660	25234964	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	105638	NR_045844	432641		NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
Merged-chr2-3729781-1	chr2	3729629	3729933	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_025626, intron 1 of 3)	intron (NM_025626, intron 1 of 3)	16323	NM_025626	66540		NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik	family with sequence similarity 107, member B	protein-coding
Merged-chr3-129571122-1	chr3	129570970	129571274	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_130450, intron 2 of 4)	intron (NM_130450, intron 2 of 4)	-38734	NR_153368	102639747		NR_153368	ENSMUSG00000105837	Gm35986	-	predicted gene, 35986	ncRNA
Merged-chr14-89770186-1	chr14	89770034	89770338	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Lx8b|LINE|L1	-126038	NR_002862	328451		NR_002862		Gm5088	EG328451|Pabpc4l	poly(A)-binding protein, cytoplasmic pseudogene	pseudo
Merged-chr10-71332748-1	chr10	71332596	71332900	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_134007, intron 2 of 2)	intron (NM_134007, intron 2 of 2)	12101	NM_134007	52637		NM_134007	ENSMUSG00000037710	Cisd1	D10Ertd214e|Zcd1|mitoNEET	CDGSH iron sulfur domain 1	protein-coding
Merged-chr2-10126265-1	chr2	10126113	10126417	+	8.600000	pCREB.fed.mergepeaks.txt	exon (NM_010582, exon 4 of 21)	exon (NM_010582, exon 4 of 21)	4418	NM_010582	16425		NM_010582	ENSMUSG00000037254	Itih2	ITI-HC2|Intin2|Itih-2	inter-alpha trypsin inhibitor, heavy chain 2	protein-coding
Merged-chr3-96221026-1	chr3	96220874	96221178	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_175662)	promoter-TSS (NM_175662)	-46	NM_178214	319190		NM_178214	ENSMUSG00000068854	H2bc21	H2b-613|Hist2h2be	H2B clustered histone 21	protein-coding
Merged-chr7-142387824-1	chr7	142387672	142387976	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_009983)	promoter-TSS (NM_009983)	3	NM_009983	13033		NM_009983	ENSMUSG00000007891	Ctsd	CD|CatD	cathepsin D	protein-coding
Merged-chr16-23107584-1	chr16	23107432	23107736	+	8.600000	pCREB.fed.mergepeaks.txt	non-coding (NR_152586, exon 1 of 12)	non-coding (NR_152586, exon 1 of 12)	116	NM_001347179	13682		NM_013506	ENSMUSG00000022884	Eif4a2	4833432N07Rik|BM-010|Ddx2b|Eif4|eIF-4A-II|eIF4A-II	eukaryotic translation initiation factor 4A2	protein-coding
Merged-chr3-139042604-1	chr3	139042452	139042756	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_145544, intron 2 of 13)	intron (NM_145544, intron 2 of 13)	32597	NM_145544	229877		NM_145544	ENSMUSG00000028149	Rap1gds1	GDS1	RAP1, GTP-GDP dissociation stimulator 1	protein-coding
Merged-chr5-56204601-1	chr5	56204449	56204753	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	ORR1C1|LTR|ERVL-MaLR	1513318	NR_015588	319216		NR_015588	ENSMUSG00000097216	4932441J04Rik	-	RIKEN cDNA 4932441J04 gene	ncRNA
Merged-chr13-63063760-1	chr13	63063608	63063912	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_001289924, intron 4 of 16)	intron (NM_001289924, intron 4 of 16)	98867	NM_001289924	72061		NM_028079	ENSMUSG00000021458	Aopep	2010111I01Rik|2300006M17Rik|AP-O|ApO|mir-23b|mir-24-1|mir-27b	aminopeptidase O	protein-coding
Merged-chr9-103202034-1	chr9	103201882	103202186	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_009275)	promoter-TSS (NM_009275)	31	NM_009275	20818		NM_009275	ENSMUSG00000032553	Srprb	-	signal recognition particle receptor, B subunit	protein-coding
Merged-chr11-75348352-1	chr11	75348200	75348504	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001164223)	promoter-TSS (NM_001164223)	31	NM_001164223	68275		NM_026653	ENSMUSG00000000751	Rpa1	5031405K23Rik|70kDa|RF-A|RP-A|Rpa	replication protein A1	protein-coding
Merged-chr1-86504704-1	chr1	86504552	86504856	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-21853	NR_153834	19231		NM_008972	ENSMUSG00000026238	Ptma	Thym	prothymosin alpha	protein-coding
Merged-chr3-130056276-1	chr3	130056124	130056428	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_207209, intron 1 of 23)	intron (NM_207209, intron 1 of 23)	4631	NM_207209	99683		NM_207209	ENSMUSG00000001052	Sec24b	SEC24	SEC24 homolog B, COPII coat complex component	protein-coding
Merged-chr11-119390068-1	chr11	119389916	119390220	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001040005)	promoter-TSS (NM_001040005)	-31	NM_001040005	672511		NM_001040005	ENSMUSG00000070327	Rnf213	6030403J01|D11Ertd759e|mysterin	ring finger protein 213	protein-coding
Merged-chr4-103388056-1	chr4	103387904	103388208	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NR_040673, intron 1 of 3)	intron (NR_040673, intron 1 of 3)	5556	NR_040673	622167		NR_040673	ENSMUSG00000086136	Gm12718	-	predicted gene 12718	ncRNA
Merged-chr17-15527295-1	chr17	15527143	15527447	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_008799)	promoter-TSS (NM_008799)	6	NM_008799	18567		NM_008799	ENSMUSG00000014771	Pdcd2	Pcd2|RP-8	programmed cell death 2	protein-coding
Merged-chr15-102625614-1	chr15	102625462	102625766	+	8.600000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001310066)	promoter-TSS (NM_001310066)	-150	NM_001310066	223922		NM_146065	ENSMUSG00000099083	Atf7	1110012F10Rik|9430065F09Rik|C130020M04Rik	activating transcription factor 7	protein-coding
Merged-chr4-119125723-1	chr4	119125571	119125875	+	8.600000	pCREB.fed.mergepeaks.txt	intron (NM_011400, intron 2 of 9)	intron (NM_011400, intron 2 of 9)	6445	NR_165264	115489941		NR_165264		Gm12867	-	predicted gene 12867	ncRNA
Merged-chr2-129800726-1	chr2	129800574	129800878	+	8.600000	pCREB.fed.mergepeaks.txt	non-coding (NR_029452, exon 1 of 1)	non-coding (NR_029452, exon 1 of 1)	209	NM_001038635	67333		NM_183262	ENSMUSG00000037885	Stk35	1700054C12Rik|CLIK1|Stk35l1	serine/threonine kinase 35	protein-coding
Merged-chr4-156343226-1	chr4	156343074	156343378	+	8.600000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	12100	NM_009485	22300		NM_009485		Vmn2r123	V2r1	vomeronasal 2, receptor 123	protein-coding
Merged-chr19-60889979-1	chr19	60889827	60890131	+	8.600000	pCREB.fed.mergepeaks.txt	5' UTR (NM_018869, exon 1 of 16)	5' UTR (NM_018869, exon 1 of 16)	230	NM_018869	14773		NM_018869	ENSMUSG00000003228	Grk5	Gprk5	G protein-coupled receptor kinase 5	protein-coding
Merged-chr5-116405336-1	chr5	116405174	116405499	+	8.590000	pCREB.fed.mergepeaks.txt	Intergenic	L2b|LINE|L2	17528	NM_030704	80888		NM_030704	ENSMUSG00000041548	Hspb8	Cryac|D5Ucla4|E2IG1|H11|H11K|HSP20-like|HSP22	heat shock protein 8	protein-coding
Merged-chr17-81065115-1	chr17	81064898	81065333	+	8.549999	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_028138)	promoter-TSS (NM_028138)	-30	NM_028138	72167		NM_028138	ENSMUSG00000024246	Thumpd2	2810025A12Rik	THUMP domain containing 2	protein-coding
Merged-chr5-33335410-1	chr5	33335194	33335627	+	8.549999	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_021500)	promoter-TSS (NM_021500)	-162	NM_021500	59003		NM_021500	ENSMUSG00000079562	Maea	1110030D19Rik|EMP|Gid9	macrophage erythroblast attacher	protein-coding
Merged-chr13-98896677-1	chr13	98896420	98896934	+	8.540000	pCREB.fed.mergepeaks.txt	intron (NM_178716, intron 1 of 23)	MER20B|DNA|hAT-Charlie	-5635	NM_001048267	238799		NM_178716	ENSMUSG00000009470	Tnpo1	D13Ertd688e|IPO2|Kpnb2|MIP|MIP1|TRN	transportin 1	protein-coding
Merged-chr1-60571786-1	chr1	60571617	60571956	+	8.540000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-5021	NM_001045513	77300		NM_001045513	ENSMUSG00000026014	Raph1	9430025M21Rik|C730009O10Rik|Lpd	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	protein-coding
Merged-chr17-29116253-1	chr17	29116043	29116463	+	8.540000	pCREB.fed.mergepeaks.txt	intron (NM_001364848, intron 1 of 13)	intron (NM_001364848, intron 1 of 13)	2072	NM_001364848	442827		NM_001002786	ENSMUSG00000064147	Rab44	9830134C10Rik	RAB44, member RAS oncogene family	protein-coding
Merged-chr8-71131680-1	chr8	71131445	71131916	+	8.540000	pCREB.fed.mergepeaks.txt	Intergenic	Intergenic	-8689	NM_001324526	665858		NM_001324526		Gm7827	EG665858	predicted gene 7827	protein-coding
Merged-chr3-79629069-1	chr3	79628824	79629314	+	8.540000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_029482)	promoter-TSS (NM_029482)	-10	NM_029482	75939		NM_029482	ENSMUSG00000027811	4930579G24Rik	-	RIKEN cDNA 4930579G24 gene	protein-coding
Merged-chr9-51008832-1	chr9	51008585	51009080	+	8.540000	pCREB.fed.mergepeaks.txt	exon (NM_178710, exon 1 of 16)	exon (NM_178710, exon 1 of 16)	241	NM_178710	235344		NM_178710	ENSMUSG00000037112	Sik2	G630080D20Rik|Snf1lk2	salt inducible kinase 2	protein-coding
Merged-chr9-107533949-1	chr9	107533793	107534105	+	8.525000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_019704)	promoter-TSS (NM_019704)	4	NM_019704	56395		NM_019704	ENSMUSG00000010045	Tmem115	Pl6|Pp6	transmembrane protein 115	protein-coding
Merged-chr12-76288850-1	chr12	76288667	76289034	+	8.525000	pCREB.fed.mergepeaks.txt	intron (NM_138745, intron 8 of 27)	intron (NM_138745, intron 8 of 27)	33618	NM_138745	108156		NM_138745	ENSMUSG00000021048	Mthfd1	Dcs|E430024A07Rik|Mthfd	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase	protein-coding
Merged-chr17-63391540-1	chr17	63391386	63391695	+	8.525000	pCREB.fed.mergepeaks.txt	intron (NM_015794, intron 4 of 8)	intron (NM_015794, intron 4 of 8)	-78567	NR_130176	414079		NR_130176	ENSMUSG00000090565	4930405O22Rik	-	RIKEN cDNA 4930405O22 gene	ncRNA
Merged-chr6-125082038-1	chr6	125081882	125082195	+	8.525000	pCREB.fed.mergepeaks.txt	exon (NM_001163269, exon 2 of 2)	exon (NM_001163269, exon 2 of 2)	10703	NM_001163268	381810		NM_001163268	ENSMUSG00000067714	Lpar5	GPR93|Gm1072|Gpr92|LPA5	lysophosphatidic acid receptor 5	protein-coding
Merged-chr9-25167795-1	chr9	25167520	25168071	+	8.525000	pCREB.fed.mergepeaks.txt	intron (NR_169024, intron 1 of 1)	B3|SINE|B2	15769	NR_169024	102631685		NR_169024	ENSMUSG00000100002	Gm29642	Gm30066	predicted gene 29642	ncRNA
Merged-chr6-140661283-1	chr6	140661116	140661451	+	8.525000	pCREB.fed.mergepeaks.txt	intron (NM_009637, intron 8 of 8)	intron (NM_009637, intron 8 of 8)	34398	NM_001309436	11569		NM_009637	ENSMUSG00000030232	Aebp2	B230313N05Rik	AE binding protein 2	protein-coding
Merged-chr6-59208820-1	chr6	59208564	59209076	+	8.525000	pCREB.fed.mergepeaks.txt	promoter-TSS (NM_001081145)	promoter-TSS (NM_001081145)	-50	NM_001081145	68140		NM_001081145	ENSMUSG00000049232	Tigd2	3632410O17Rik	tigger transposable element derived 2	protein-coding
